2023-06-04T17:15:41.127621Z  INFO gleamalyzer: Init params: {"capabilities":{"general":{"markdown":{"parser":"marked","version":"1.1.0"},"regularExpressions":{"engine":"ECMAScript","version":"ES2020"}},"textDocument":{"callHierarchy":{"dynamicRegistration":true},"codeAction":{"codeActionLiteralSupport":{"codeActionKind":{"valueSet":["","quickfix","refactor","refactor.extract","refactor.inline","refactor.rewrite","source","source.organizeImports"]}},"dataSupport":true,"disabledSupport":true,"dynamicRegistration":true,"honorsChangeAnnotations":false,"isPreferredSupport":true,"resolveSupport":{"properties":["edit"]}},"codeLens":{"dynamicRegistration":true},"colorProvider":{"dynamicRegistration":true},"completion":{"completionItem":{"commitCharactersSupport":true,"deprecatedSupport":true,"documentationFormat":["markdown","plaintext"],"insertReplaceSupport":true,"insertTextModeSupport":{"valueSet":[1,2]},"preselectSupport":true,"resolveSupport":{"properties":["documentation","detail","additionalTextEdits"]},"snippetSupport":true,"tagSupport":{"valueSet":[1]}},"completionItemKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]},"contextSupport":true,"dynamicRegistration":true},"declaration":{"dynamicRegistration":true,"linkSupport":true},"definition":{"dynamicRegistration":true,"linkSupport":true},"documentHighlight":{"dynamicRegistration":true},"documentLink":{"dynamicRegistration":true,"tooltipSupport":true},"documentSymbol":{"dynamicRegistration":true,"hierarchicalDocumentSymbolSupport":true,"labelSupport":true,"symbolKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]},"tagSupport":{"valueSet":[1]}},"foldingRange":{"dynamicRegistration":true,"lineFoldingOnly":true,"rangeLimit":5000},"formatting":{"dynamicRegistration":true},"hover":{"contentFormat":["markdown","plaintext"],"dynamicRegistration":true},"implementation":{"dynamicRegistration":true,"linkSupport":true},"linkedEditingRange":{"dynamicRegistration":true},"onTypeFormatting":{"dynamicRegistration":true},"publishDiagnostics":{"codeDescriptionSupport":true,"dataSupport":true,"relatedInformation":true,"tagSupport":{"valueSet":[1,2]},"versionSupport":false},"rangeFormatting":{"dynamicRegistration":true},"references":{"dynamicRegistration":true},"rename":{"dynamicRegistration":true,"honorsChangeAnnotations":true,"prepareSupport":true,"prepareSupportDefaultBehavior":1},"selectionRange":{"dynamicRegistration":true},"semanticTokens":{"dynamicRegistration":true,"formats":["relative"],"multilineTokenSupport":false,"overlappingTokenSupport":false,"requests":{"full":{"delta":true},"range":true},"tokenModifiers":["declaration","definition","readonly","static","deprecated","abstract","async","modification","documentation","defaultLibrary"],"tokenTypes":["namespace","type","class","enum","interface","struct","typeParameter","parameter","variable","property","enumMember","event","function","method","macro","keyword","modifier","comment","string","number","regexp","operator"]},"signatureHelp":{"contextSupport":true,"dynamicRegistration":true,"signatureInformation":{"activeParameterSupport":true,"documentationFormat":["markdown","plaintext"],"parameterInformation":{"labelOffsetSupport":true}}},"synchronization":{"didSave":true,"dynamicRegistration":true,"willSave":true,"willSaveWaitUntil":true},"typeDefinition":{"dynamicRegistration":true,"linkSupport":true}},"window":{"showDocument":{"support":true},"showMessage":{"messageActionItem":{"additionalPropertiesSupport":true}},"workDoneProgress":true},"workspace":{"applyEdit":true,"codeLens":{"refreshSupport":true},"configuration":true,"didChangeConfiguration":{"dynamicRegistration":true},"didChangeWatchedFiles":{"dynamicRegistration":true},"executeCommand":{"dynamicRegistration":true},"fileOperations":{"didCreate":true,"didDelete":true,"didRename":true,"dynamicRegistration":true,"willCreate":true,"willDelete":true,"willRename":true},"semanticTokens":{"refreshSupport":true},"symbol":{"dynamicRegistration":true,"symbolKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]},"tagSupport":{"valueSet":[1]}},"workspaceEdit":{"changeAnnotationSupport":{"groupsOnLabel":true},"documentChanges":true,"failureHandling":"textOnlyTransactional","normalizesLineEndings":true,"resourceOperations":["create","rename","delete"]},"workspaceFolders":true}},"clientInfo":{"name":"Visual Studio Code","version":"1.78.2"},"locale":"en-gb","processId":86286,"rootPath":"/Users/maurobalbi/Documents/repos/try_gleam","rootUri":"file:///Users/maurobalbi/Documents/repos/try_gleam","trace":"off","workspaceFolders":[{"name":"try_gleam","uri":"file:///Users/maurobalbi/Documents/repos/try_gleam"}]}
2023-06-04T17:15:41.128841Z  INFO gleamalyzer::server: Started 8 workers
2023-06-04T17:15:41.130063Z  INFO gleamalyzer::server: Loading flake configuration
2023-06-04T17:15:41.130407Z  INFO gleamalyzer::server: Workspace is a flake (missing_inputs = false): PackageData { root_file: FileId(1), version: None, display_name: None, dependencies: [], input_store_paths: {} }
2023-06-04T17:15:46.272521Z  INFO gleamalyzer::server: Updating diagnostics Url { scheme: "file", cannot_be_a_base: false, username: "", password: None, host: None, port: None, path: "/Users/maurobalbi/Documents/repos/try_gleam/src/try_gleam.gleam", query: None, fragment: None }
2023-06-04T17:15:46.272749Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): invoked at R14    
2023-06-04T17:15:46.272892Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): executing query    
2023-06-04T17:15:47.316199Z  INFO gleamalyzer::server: Updating diagnostics Url { scheme: "file", cannot_be_a_base: false, username: "", password: None, host: None, port: None, path: "/Users/maurobalbi/Documents/repos/try_gleam/src/try_gleam.gleam", query: None, fragment: None }
2023-06-04T17:15:47.316406Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): invoked at R16    
2023-06-04T17:15:47.316485Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): executing query    
2023-06-04T17:15:47.577700Z  INFO gleamalyzer::server: Updating diagnostics Url { scheme: "file", cannot_be_a_base: false, username: "", password: None, host: None, port: None, path: "/Users/maurobalbi/Documents/repos/try_gleam/src/try_gleam.gleam", query: None, fragment: None }
2023-06-04T17:15:47.577849Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): invoked at R18    
2023-06-04T17:15:47.577905Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): executing query    
2023-06-04T17:15:53.303194Z  INFO gleamalyzer::server: Updating diagnostics Url { scheme: "file", cannot_be_a_base: false, username: "", password: None, host: None, port: None, path: "/Users/maurobalbi/Documents/repos/try_gleam/src/try_gleam.gleam", query: None, fragment: None }
2023-06-04T17:15:53.303618Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): invoked at R20    
2023-06-04T17:15:53.303693Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): executing query    
2023-06-04T17:15:53.378990Z  INFO gleamalyzer::server: Updating diagnostics Url { scheme: "file", cannot_be_a_base: false, username: "", password: None, host: None, port: None, path: "/Users/maurobalbi/Documents/repos/try_gleam/src/try_gleam.gleam", query: None, fragment: None }
2023-06-04T17:15:53.379130Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): invoked at R22    
2023-06-04T17:15:53.379179Z  INFO salsa::derived::slot: ParseQuery(FileId(0)): executing query    
2023-06-04T17:15:54.776205Z  INFO gleamalyzer::server: Saving document
